id,symbol,name,image,current_price,market_cap,Rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,Variation % 24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,image_url
injective-protocol,INJ,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Other_200x200.png?1738782212,14.03,1370910947,75,1402793349,133289383,16.15,13.96,-1.439,-9.31,-146211680.262,-9.637,97727220,100000000.0,,52.62,-73.23,2024-03-14,0.657,2042.732,2020-11-03,2025-02-18 11:31,/12882/large/Other_200x200.png?1738782212
rocket-pool-eth,RETH,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,3035.11,1367271142,76,1367271142,17779691,3175.56,2992.85,-64.293,-2.07,-37026431.937,-2.637,450578,450578.302,,4814.31,-37.005,2021-12-01,887.26,241.81,2022-06-18,2025-02-18 11:31,/20764/large/reth.png?1696520159
ethena,ENA,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.43,1358270857,77,6513186926,208054178,0.48,0.42,-0.033,-7.12,-110210792.167,-7.505,3128125000,15000000000.0,,1.52,-71.374,2024-04-11,0.195,122.709,2024-09-06,2025-02-18 11:31,/36530/large/ethena.png?1711701436
blockstack,STX,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,0.89,1342480866,78,1342482640,33349704,0.96,0.87,-0.052,-5.52,-84014154.515,-5.89,1513601059,1513603059.311,1818000000.0,3.86,-77.09,2024-04-01,0.046,1841.599,2020-03-13,2025-02-18 11:31,/2069/large/Stacks_Logo_png.png?1709979332
binance-staked-sol,BNSOL,Binance Staked SOL,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,174.76,1339420617,79,1339420617,18363797,193.17,170.5,-15.444,-8.12,-139072065.475,-9.406,7665008,7665008.566,,297.96,-41.331,2025-01-19,127.32,37.297,2024-09-18,2025-02-18 11:31,/40132/large/bnsol.png?1725968367
nexo,NEXO,NEXO,https://coin-images.coingecko.com/coins/images/3695/large/CG-nexo-token-200x200_2x.png?1730414360,1.33,1330625660,80,1330625660,10870229,1.36,1.32,-0.01,-0.77,-8257393.865,-0.617,1000000000,1000000000.0,1000000000.0,4.07,-67.246,2021-05-12,0.045,2850.966,2018-09-13,2025-02-18 11:31,/3695/large/CG-nexo-token-200x200_2x.png?1730414360
immutable-x,IMX,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,0.75,1302437888,81,1493792462,52537541,0.86,0.74,-0.074,-9.02,-133659018.698,-9.307,1743800322,2000000000.0,2000000000.0,9.52,-92.166,2021-11-26,0.378,97.279,2022-12-31,2025-02-18 11:31,/17233/large/immutableX-symbol-BLK-RGB.png?1696516787
the-graph,GRT,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.14,1290214213,82,1457693938,62560178,0.15,0.13,-0.01,-6.77,-98608697.765,-7.1,9548531509,10788004319.0,10788004319.0,2.84,-95.256,2021-02-12,0.052,159.002,2022-11-22,2025-02-18 11:31,/13397/large/Graph_Token.png?1696513159
raydium,RAY,Raydium,https://coin-images.coingecko.com/coins/images/13928/large/PSigc4ie_400x400.jpg?1696513668,4.42,1287115007,83,2455938173,129067088,4.93,4.33,-0.466,-9.53,-134716775.856,-9.475,290865965,555000000.0,555000000.0,16.83,-73.804,2021-09-12,0.134,3181.093,2022-12-29,2025-02-18 11:31,/13928/large/PSigc4ie_400x400.jpg?1696513668
theta-token,THETA,Theta Network,https://coin-images.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,1.27,1269650288,84,1269650288,20228782,1.38,1.25,-0.08,-5.94,-85387149.264,-6.301,1000000000,1000000000.0,1000000000.0,15.72,-91.925,2021-04-16,0.04,3042.02,2020-03-13,2025-02-18 11:31,/2538/large/theta-token-logo.png?1696503349
movement,MOVE,Movement,https://coin-images.coingecko.com/coins/images/39345/large/movement-testnet-token.png?1721878759,0.52,1260443992,85,5251849965,79126895,0.56,0.52,-0.027,-4.89,-70117854.045,-5.27,2400000000,10000000000.0,10000000000.0,1.45,-63.771,2024-12-10,0.498,5.553,2025-02-10,2025-02-18 11:31,/39345/large/movement-testnet-token.png?1721878759
mantle-staked-ether,METH,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,2855.16,1252030390,86,1252030390,20707346,2994.48,2807.16,-62.067,-2.13,-31135329.955,-2.426,438673,438673.363,,4729.53,-39.643,2024-03-27,2142.02,33.268,2023-12-18,2025-02-18 11:31,/33345/large/symbol_transparent_bg.png?1701697066
bonk,BONK,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,0.0,1219568304,87,1402353674,119012106,0.0,0.0,-0.0,-8.61,-121244230.089,-9.043,77285139006875,88868412074936.1,88868412074936.1,0.0,-72.923,2024-11-20,0.0,18209.593,2022-12-29,2025-02-18 11:31,/28600/large/bonk.jpg?1696527587
worldcoin-wld,WLD,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,1.16,1196576850,88,11587622461,211909386,1.27,1.14,-0.076,-6.14,-75813013.198,-5.958,1032633617,10000000000.0,10000000000.0,11.74,-90.125,2024-03-10,0.973,19.139,2023-09-13,2025-02-18 11:31,/31069/large/worldcoin.jpeg?1696529903
flare-networks,FLR,Flare,https://coin-images.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1696527609,0.02,1192615844,89,2081097475,7525522,0.02,0.02,-0.001,-5.54,-73072529.882,-5.773,59045048025,103032758639.97,,0.15,-86.52,2023-01-10,0.008,144.499,2023-10-19,2025-02-18 11:31,/28624/large/FLR-icon200x200.png?1696527609
usual-usd,USD0,Usual USD,https://coin-images.coingecko.com/coins/images/38272/large/USD0LOGO.png?1716962811,1.0,1137065215,90,1137065215,5796559,1.0,1.0,0.0,0.01,-176273.555,-0.016,1140622461,1140622461.942,,1.33,-24.777,2024-07-12,0.976,2.132,2025-01-20,2025-02-18 11:31,/38272/large/USD0LOGO.png?1716962811
sei-network,SEI,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.22,1036475566,91,2225390373,68885985,0.24,0.22,-0.013,-5.68,-67298721.715,-6.097,4657499999,10000000000.0,,1.14,-80.48,2024-03-16,0.095,133.294,2023-10-19,2025-02-18 11:31,/28205/large/Sei_Logo_-_Transparent.png?1696527207
jasmycoin,JASMY,JasmyCoin,https://coin-images.coingecko.com/coins/images/13876/large/JASMY200x200.jpg?1696513620,0.02,1026266609,92,1059754863,49932706,0.02,0.02,-0.001,-5.43,-61116426.757,-5.621,48419999999,50000000000.0,50000000000.0,4.79,-99.558,2021-02-16,0.003,670.061,2022-12-29,2025-02-18 11:31,/13876/large/JASMY200x200.jpg?1696513620
dexe,DEXE,DeXe,https://coin-images.coingecko.com/coins/images/12713/large/DEXE_token_logo.png?1696512514,17.96,1025132315,93,1732459616,8345374,18.35,17.5,0.112,0.63,3961820.0,0.388,57103774,96504599.336,,32.38,-44.535,2021-03-08,0.672,2574.39,2020-11-06,2025-02-18 11:31,/12713/large/DEXE_token_logo.png?1696512514
gala,GALA,GALA,https://coin-images.coingecko.com/coins/images/12493/large/GALA_token_image_-_200PNG.png?1709725869,0.02,941443912,95,941444314,91626892,0.02,0.02,-0.001,-4.72,-53384196.881,-5.366,43098972262,43098990695.627,50000000000.0,0.825,-97.355,2021-11-26,0.0,16088.081,2020-12-28,2025-02-18 11:31,/12493/large/GALA_token_image_-_200PNG.png?1709725869
eos,EOS,EOS,https://coin-images.coingecko.com/coins/images/738/large/CG_EOS_Icon.png?1731705232,0.62,932726475,97,1291280868,90197237,0.65,0.61,-0.027,-4.16,-40316984.967,-4.143,1516885789,2100000000.0,2100000000.0,22.71,-97.295,2018-04-29,0.403,52.54,2024-11-04,2025-02-18 11:31,/738/large/CG_EOS_Icon.png?1731705232
floki,FLOKI,FLOKI,https://coin-images.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,0.0,910386030,99,941244534,161877220,0.0,0.0,-0.0,-3.44,-35328412.76,-3.736,9672152101729,10000000000000.0,10000000000000.0,0.0,-72.737,2024-06-05,0.0,111484.109,2021-07-06,2025-02-18 11:31,/16746/large/PNG_image.png?1696516318
the-sandbox,SAND,The Sandbox,https://coin-images.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1696511971,0.37,902358775,100,1106800678,94151234,0.41,0.37,-0.033,-8.19,-86438274.273,-8.742,2445857126,3000000000.0,3000000000.0,8.4,-95.604,2021-11-25,0.029,1173.929,2020-11-04,2025-02-18 11:31,/12129/large/sandbox_logo.jpg?1696511971
